tree,operation,pattern,n,time,splits,merges,comparisons,node_accesses,height,fill_factor
BTree,insert,random,50000,0.014000,21135,0,779478,443343,10,59.12
BTree,search,random,50000,0.010000,0,0,738598,449668,10,59.12
BTree,delete,random,50000,0.013000,0,21135,851911,367476,10,59.12
BPlusTree,insert,random,50000,0.012000,40029,0,764898,585747,13,61.79
BPlusTree,search,random,50000,0.021000,0,0,826869,650000,13,61.79
BPlusTree,range_query,random,50000,0.000000,0,0,4523,2208,13,61.79
BPlusTree,delete,random,50000,0.000000,0,0,0,0,13,61.79
BTree,insert,sorted,50000,0.008000,24991,0,480656,455674,10,50.00
BTree,search,sorted,50000,0.006000,0,0,770078,475009,10,50.00
BTree,delete,sorted,50000,0.006000,0,24991,438458,438458,10,50.00
BPlusTree,insert,sorted,50000,0.012000,99971,0,834286,734331,16,33.34
BPlusTree,search,sorted,50000,0.006000,0,0,835760,800000,16,33.34
BPlusTree,range_query,sorted,50000,0.000000,0,0,5018,5002,16,33.34
BPlusTree,delete,sorted,50000,0.000000,0,0,0,0,16,33.34
BTree,insert,reverse,50000,0.008000,49963,0,1651243,651624,15,25.01
BTree,search,reverse,50000,0.007000,0,0,735336,700037,15,25.01
BTree,delete,reverse,50000,0.012000,0,49963,2109368,615127,15,25.01
BPlusTree,insert,reverse,50000,0.015000,49976,0,1066815,684377,15,50.01
BPlusTree,search,reverse,50000,0.008000,0,0,809466,750000,15,50.01
BPlusTree,range_query,reverse,50000,0.000000,0,0,5018,2502,15,50.01
BPlusTree,delete,reverse,50000,0.000000,0,0,0,0,15,50.01
BTree,insert,random,100000,0.047000,42098,0,1646137,960283,11,59.37
BTree,search,random,100000,0.029000,0,0,1507036,957001,11,59.37
BTree,delete,random,100000,0.031000,0,42098,1807230,779148,11,59.37
BPlusTree,insert,random,100000,0.024000,78692,0,1635081,1234177,14,62.57
BPlusTree,search,random,100000,0.030000,0,0,1740139,1400000,14,62.57
BPlusTree,range_query,random,100000,0.000000,0,0,30594,14583,14,62.57
BPlusTree,delete,random,100000,0.000000,0,0,0,0,14,62.57
BTree,insert,sorted,100000,0.008000,49990,0,1017071,967091,11,50.00
BTree,search,sorted,100000,0.011000,0,0,1643446,1050010,11,50.00
BTree,delete,sorted,100000,0.014000,0,49990,926146,926146,11,50.00
BPlusTree,insert,sorted,100000,0.019000,199969,0,1768730,1568778,17,33.34
BPlusTree,search,sorted,100000,0.012000,0,0,1771520,1700000,17,33.34
BPlusTree,range_query,sorted,100000,0.000000,0,0,10019,10002,17,33.34
BPlusTree,delete,sorted,100000,0.000000,0,0,0,0,17,33.34
BTree,insert,reverse,100000,0.021000,99960,0,3552649,1403307,16,25.01
BTree,search,reverse,100000,0.013000,0,0,1570649,1500040,16,25.01
BTree,delete,reverse,100000,0.017000,0,99960,4568331,1330120,16,25.01
BPlusTree,insert,reverse,100000,0.022000,99974,0,2283767,1468827,16,50.00
BPlusTree,search,reverse,100000,0.009000,0,0,1718930,1600000,16,50.00
BPlusTree,range_query,reverse,100000,0.000000,0,0,10019,5002,16,50.00
BPlusTree,delete,reverse,100000,0.000000,0,0,0,0,16,50.00
